"ID","Set Date","Net","Set Time","Set Flow Rotor Count","Set 30 Seconds Count","Set Rotor Delta","Water Temperature on Set","Water Temperature on Pull","Pull Time","Pull Flow Rotor Count","Pull 30 sec Rotor Count","Pull Rotor Delta","Comments","Examined","Larvae Found","Cod Confirmed","Larvae Comments","Weather","cSettime","cPulltime","Soak Time","Pull Date","Source","Depth (m)","Total Rotor Delta","Delta per Hour","Average set and pull 30 sec delta","Av rotor if over whole soak time","Maccullochella larvae","Perca larvae","Cyprinus larvae","Other species","Location","SoakHours","OrigTotalRotor","YearOnly","Day of Year","CreatedDate","SiteName"
103,13/10/2011 0:00:00,"Eel net",30/12/1899 17:00:00,,,,,,30/12/1899 8:30:00,,,,,0,0,0,,,13/10/2011 17:00:00,14/10/2011 8:30:00,30/12/1899 15:30:00,14/10/2011 0:00:00,,,,,,,0,,,,2,15.49,,2011,286,,"Lanyon"
104,13/10/2011 0:00:00,"Drift net 1",30/12/1899 17:30:00,647483,,,,,30/12/1899 8:00:00,,838667,,"191184",0,0,0,,,13/10/2011 17:30:00,14/10/2011 8:00:00,30/12/1899 14:30:00,14/10/2011 0:00:00,,,191184.00,13656.00,,,0,,,,2,14.50,191184,2011,286,,"Lanyon"
105,13/10/2011 0:00:00,"Drift net 2",30/12/1899 17:30:00,490817,,,,,30/12/1899 8:00:00,,531237,,"40420",0,0,0,,,13/10/2011 17:30:00,14/10/2011 8:00:00,30/12/1899 14:30:00,14/10/2011 0:00:00,,,40420.00,2887.14,,,0,,,,2,14.50,40420,2011,286,,"Lanyon"
106,17/10/2011 0:00:00,"Drift net 1",30/12/1899 18:30:00,838779,,,,,30/12/1899 9:30:00,,947750,,"108971",0,0,0,,,17/10/2011 18:30:00,18/10/2011 9:30:00,30/12/1899 15:00:00,18/10/2011 0:00:00,,,108971.00,7264.73,,,0,,,,3,15.00,108971,2011,290,,"Murramore"
107,17/10/2011 0:00:00,"Drift net 2",30/12/1899 18:30:00,531347,,,,,30/12/1899 9:30:00,,648557,,"117210",0,0,0,,,17/10/2011 18:30:00,18/10/2011 9:30:00,30/12/1899 15:00:00,18/10/2011 0:00:00,,,117210.00,7814.00,,,0,,,,3,15.00,117210,2011,290,,"Murramore"
108,18/10/2011 0:00:00,"Eel net",30/12/1899 17:30:00,,,,,,30/12/1899 9:30:00,,,,,0,0,0,,,18/10/2011 17:30:00,19/10/2011 9:30:00,30/12/1899 16:00:00,19/10/2011 0:00:00,,,,,,,0,,,,4,16.00,,2011,291,,"Kambah Pool"
109,18/10/2011 0:00:00,"Drift net 1",30/12/1899 17:30:00,947754,,,,,30/12/1899 9:30:00,,976494,,"28740",0,0,0,,,18/10/2011 17:30:00,19/10/2011 9:30:00,30/12/1899 16:00:00,19/10/2011 0:00:00,,,28740.00,1796.25,,,0,,,,4,16.00,28740,2011,291,,"Kambah Pool"
110,18/10/2011 0:00:00,"Drift net 2",30/12/1899 17:30:00,648656,,,,,30/12/1899 9:30:00,,726348,,"77692",0,0,0,,,18/10/2011 17:30:00,19/10/2011 9:30:00,30/12/1899 16:00:00,19/10/2011 0:00:00,,,77692.00,4855.75,,,0,,,,4,16.00,77692,2011,291,,"Kambah Pool"
111,19/10/2011 0:00:00,"Eel net",30/12/1899 17:30:00,,,,,,30/12/1899 10:00:00,,,,,0,0,0,,,19/10/2011 17:30:00,20/10/2011 10:00:00,30/12/1899 16:30:00,20/10/2011 0:00:00,,,,,,,0,,,,5,16.50,,2011,292,,"Bullen Range"
112,19/10/2011 0:00:00,"Drift net 1",30/12/1899 18:00:00,976738,,,,,30/12/1899 9:30:00,,993809,,"17071",0,0,0,,,19/10/2011 18:00:00,20/10/2011 9:30:00,30/12/1899 15:30:00,20/10/2011 0:00:00,,,17071.00,1138.06,,,0,,,,5,15.50,17071,2011,292,,"Bullen Range"
113,19/10/2011 0:00:00,"Drift net 2",30/12/1899 18:00:00,726438,,,,,30/12/1899 9:30:00,,752360,,"25922",0,0,0,,,19/10/2011 18:00:00,20/10/2011 9:30:00,30/12/1899 15:30:00,20/10/2011 0:00:00,,,25922.00,1728.13,,,0,,,,5,15.50,25922,2011,292,,"Bullen Range"
114,20/10/2011 0:00:00,"Eel net",30/12/1899 17:30:00,,,,,,30/12/1899 9:30:00,,,,,0,0,0,,,20/10/2011 17:30:00,21/10/2011 9:30:00,30/12/1899 16:00:00,21/10/2011 0:00:00,,,,,,,0,,,,6,16.00,,2011,293,,"Nerreman"
115,20/10/2011 0:00:00,"Drift net 1",30/12/1899 17:00:00,993977,,,,,30/12/1899 9:30:00,,1038862,,"44884",0,0,0,,,20/10/2011 17:00:00,21/10/2011 9:30:00,30/12/1899 16:30:00,21/10/2011 0:00:00,,,44885.00,2805.31,,,0,,,,6,16.50,44885,2011,293,,"Nerreman"
116,20/10/2011 0:00:00,"Drift net 2",30/12/1899 17:00:00,752500,,,,,30/12/1899 9:30:00,,791345,,"38845",0,0,0,,,20/10/2011 17:00:00,21/10/2011 9:30:00,30/12/1899 16:30:00,21/10/2011 0:00:00,,,38845.00,2427.81,,,0,,,,6,16.50,38845,2011,293,,"Nerreman"
117,2/10/2012 0:00:00,"Drift net 4",30/12/1899 17:20:00,39436,,,,,30/12/1899 9:20:00,,213746,,,0,0,0,,,2/10/2012 17:20:00,3/10/2012 9:20:00,30/12/1899 16:00:00,3/10/2012 0:00:00,"Datasheet",,174310.00,10894.37,,,0,,,,1,16.00,174310,2012,276,,"Tharwa Sandwash"
226,12/12/2012 0:00:00,"Drift net 4",30/12/1899 15:45:00,800292,801121,829,23.60,,30/12/1899 9:42:00,1748494,1748961,467,"Check Temp",0,0,0,,"Sunny",12/12/2012 15:45:00,13/12/2012 9:42:00,30/12/1899 17:57:00,13/12/2012 0:00:00,"Datasheet",0.70,948669.00,55804.05,648.00,1395792.00,0,,4,,3,17.95,948669,2012,347,,"Murramore"
227,12/12/2012 0:00:00,"Drift net 8",30/12/1899 15:47:00,241922,243180,1258,23.60,,30/12/1899 9:38:00,1105071,1105346,275,"Check Temp",0,0,0,,"Sunny",12/12/2012 15:47:00,13/12/2012 9:38:00,30/12/1899 17:51:00,13/12/2012 0:00:00,"Datasheet",2.00,863424.00,50789.64,766.50,1641843.00,0,,1,,3,17.85,863424,2012,347,,"Murramore"
230,13/12/2012 0:00:00,"Drift net 8",30/12/1899 15:39:00,105375,105817,442,24.50,,30/12/1899 9:25:00,338173,338322,149,"Check Temp",0,0,0,,"Sunny Overcast",13/12/2012 15:39:00,14/12/2012 9:25:00,30/12/1899 17:46:00,14/12/2012 0:00:00,"Datasheet",0.70,232947.00,13702.76,295.50,630005.99,0,,,,4,17.76,232947,2012,348,,"Kambah Pool"
509,18/12/2012 0:00:00,"Drift net 4",30/12/1899 15:37:00,134448,135231,783,,,30/12/1899 9:31:00,465895,466038,143,,0,0,0,,"Sunny",18/12/2012 15:37:00,19/12/2012 9:31:00,30/12/1899 17:54:00,19/12/2012 0:00:00,"Datasheet",0.70,331590.00,19505.29,463.00,994524.00,0,,,,6,17.90,331590,2012,353,,"Nerreman"
510,18/12/2012 0:00:00,"Drift net 8",30/12/1899 15:32:00,342871,343605,734,,,30/12/1899 9:29:00,552371,552543,172,,0,0,0,,"Sunny",18/12/2012 15:32:00,19/12/2012 9:29:00,30/12/1899 17:57:00,19/12/2012 0:00:00,"Datasheet",0.70,209672.00,12333.64,453.00,975762.00,1,,,,6,17.95,209672,2012,353,,"Nerreman"
511,18/12/2012 0:00:00,"Eel net",30/12/1899 16:35:00,,,,,,30/12/1899 9:39:00,,,,,0,0,0,,"Sunny",18/12/2012 16:35:00,19/12/2012 9:39:00,30/12/1899 17:04:00,19/12/2012 0:00:00,"Datasheet",0.60,,,,,0,,,2,6,17.06,,2012,353,,"Nerreman"
512,17/12/2012 0:00:00,"Drift net 4",30/12/1899 16:30:00,972533,972818,285,,,30/12/1899 9:59:00,1134358,1134427,69,"CHECK",0,0,0,,"Sunny Overcast",17/12/2012 16:30:00,18/12/2012 9:59:00,30/12/1899 17:29:00,18/12/2012 0:00:00,"Datasheet",0.80,161894.00,9523.17,177.00,371346.00,0,,,,5,17.48,161894,2012,352,,"Bullen Range"
513,17/12/2012 0:00:00,"Drift net 8",30/12/1899 16:33:00,338358,338488,130,,,30/12/1899 9:57:00,342804,342867,63,,0,0,0,,"Sunny Overcast",17/12/2012 16:33:00,18/12/2012 9:57:00,30/12/1899 17:24:00,18/12/2012 0:00:00,"Datasheet",0.70,4509.00,265.23,96.50,201491.99,0,,,,5,17.39,4509,2012,352,,"Bullen Range"
514,17/12/2012 0:00:00,"Eel net",30/12/1899 16:47:00,,,,,,30/12/1899 10:08:00,,,,,0,0,0,,"Sunny Overcast",17/12/2012 16:47:00,18/12/2012 10:08:00,30/12/1899 17:21:00,18/12/2012 0:00:00,"Datasheet",1.00,,,,,0,,,,5,17.34,,2012,352,,"Bullen Range"
517,12/12/2012 0:00:00,"Eel net",30/12/1899 15:57:00,,,,22.60,,30/12/1899 9:56:00,,,,,0,0,0,,"Sunny",12/12/2012 15:57:00,13/12/2012 9:56:00,30/12/1899 17:59:00,13/12/2012 0:00:00,"Datasheet",1.50,,,,,0,,,,3,17.98,,2012,347,,"Murramore"
518,13/12/2012 0:00:00,"Drift net 4",30/12/1899 15:41:00,748907,749387,480,22.50,,30/12/1899 9:23:00,972173,972339,166,"Check Temp on HoBO",0,0,0,,"Sunny Overcast",13/12/2012 15:41:00,14/12/2012 9:23:00,30/12/1899 17:42:00,14/12/2012 0:00:00,"Datasheet",0.50,223432.00,13143.05,323.00,686052.00,2,,,,4,17.70,223432,2012,348,,"Kambah Pool"
520,13/12/2012 0:00:00,"Eel net",30/12/1899 15:35:00,,,,24.50,,30/12/1899 9:37:00,,,,,0,0,0,,"Sunny Overcast",13/12/2012 15:35:00,14/12/2012 9:37:00,30/12/1899 18:02:00,14/12/2012 0:00:00,"Datasheet",0.80,,,,,0,2,,,4,18.03,,2012,348,,"Kambah Pool"
521,10/12/2012 0:00:00,"Drift net 4",30/12/1899 16:25:00,177411,177936,525,19.30,,30/12/1899 9:29:00,449189,449462,273,,0,0,0,,"Overcast Windy",10/12/2012 16:25:00,11/12/2012 9:29:00,30/12/1899 17:04:00,11/12/2012 0:00:00,"Datasheet",0.80,272051.00,16003.00,399.00,817151.99,0,,,,1,17.06,272051,2012,345,,"Tharwa Sandwash"
