291,"Angle Crossing",13.63,315.36,7.61,307.74
292,"Angle Crossing",17.18,311.81,7.61,304.19
293,"Angle Crossing",19.55,309.44,7.61,301.83
294,"Angle Crossing",,,7.61,
295,"Angle Crossing",20.14,308.85,7.61,301.23
296,"Angle Crossing",17.78,311.21,7.61,303.60
297,"Angle Crossing",18.07,310.92,7.61,303.30
298,"Angle Crossing",21.03,307.96,7.61,300.35
299,"Angle Crossing",17.18,312.81,7.43,305.38
300,"Angle Crossing",17.18,312.81,7.43,305.38
301,"Angle Crossing",,,7.43,
302,"Angle Crossing",19.11,310.88,7.43,303.45
303,"Angle Crossing",18.81,311.18,7.43,303.75
304,"Angle Crossing",21.03,308.96,7.43,301.53
305,"Angle Crossing",18.66,311.33,7.43,303.90
306,"Angle Crossing",18.37,311.62,7.43,304.19
307,"Angle Crossing",19.55,310.44,7.43,303.01
308,"Angle Crossing",17.33,312.66,7.43,305.23
309,"Angle Crossing",18.52,311.47,7.43,304.04
310,"Angle Crossing",,,6.65,
311,"Angle Crossing",17.92,313.07,6.65,306.41
312,"Angle Crossing",19.55,311.44,6.65,304.79
313,"Angle Crossing",21.92,309.07,6.65,302.42
314,"Angle Crossing",19.11,311.88,6.65,305.23
315,"Angle Crossing",17.63,313.36,6.65,306.71
316,"Angle Crossing",,,6.65,
317,"Angle Crossing",21.33,309.66,6.65,303.01
318,"Angle Crossing",17.48,314.51,6.63,307.88
319,"Angle Crossing",17.63,314.36,6.63,307.73
320,"Angle Crossing",16.59,315.40,6.63,308.77
321,"Angle Crossing",18.37,313.62,6.63,306.99
322,"Angle Crossing",17.92,314.07,6.63,307.44
323,"Angle Crossing",14.23,321.76,6.05,315.71
324,"Angle Crossing",14.23,321.76,6.05,315.71
325,"Angle Crossing",12.60,323.39,6.05,317.34
326,"Angle Crossing",,,6.05,
327,"Angle Crossing",16.89,319.10,6.05,313.05
328,"Angle Crossing",14.97,322.02,5.71,316.31
329,"Angle Crossing",15.26,321.73,5.71,316.02
330,"Angle Crossing",14.37,322.62,5.71,316.90
331,"Angle Crossing",,,5.71,
332,"Angle Crossing",18.07,318.92,5.71,313.21
333,"Angle Crossing",16.00,326.99,6.27,320.72
334,"Angle Crossing",18.07,324.92,6.27,318.65
335,"Angle Crossing",17.48,325.51,6.27,319.24
336,"Angle Crossing",18.37,324.62,6.27,318.35
337,"Angle Crossing",17.78,325.21,6.27,318.94
